"","title","author","subject","abstract","meta"
"42","System-level Analysis of Adversarial Attacks and Defenses on Intelligence in O-RAN based Cellular Networks","Azuka Chiejina, Brian Kim, Kaushik Chowhdury, Vijay K. Shah","Cryptography and Security (cs.CR)","While the open architecture, open interfaces, and integration of intelligence within Open Radio Access Network technology hold the promise of transforming 5G and 6G networks, they also introduce cybersecurity vulnerabilities that hinder its widespread adoption. In this paper, we conduct a thorough system-level investigation of cyber threats, with a specific focus on machine learning (ML) intelligence components known as xApps within the O-RAN's near-real-time RAN Intelligent Controller (near-RT RIC) platform. Our study begins by developing a malicious xApp designed to execute adversarial attacks on two types of test data - spectrograms and key performance metrics (KPMs), stored in the RIC database within the near-RT RIC. To mitigate these threats, we utilize a distillation technique that involves training a teacher model at a high softmax temperature and transferring its knowledge to a student model trained at a lower softmax temperature, which is deployed as the robust ML model within xApp. We prototype an over-the-air LTE/5G O-RAN testbed to assess the impact of these attacks and the effectiveness of the distillation defense technique by leveraging an ML-based Interference Classification (InterClass) xApp as an example. We examine two versions of InterClass xApp under distinct scenarios, one based on Convolutional Neural Networks (CNNs) and another based on Deep Neural Networks (DNNs) using spectrograms and KPMs as input data respectively. Our findings reveal up to 100% and 96.3% degradation in the accuracy of both the CNN and DNN models respectively resulting in a significant decline in network performance under considered adversarial attacks. Under the strict latency constraints of the near-RT RIC closed control loop, our analysis shows that the distillation technique outperforms classical adversarial training by achieving an accuracy of up to 98.3% for mitigating such attacks.","Sat, 10 Feb 2024 00:26:44 UTC (11,196 KB)[v2] Tue, 13 Feb 2024 16:54:48 UTC (11,191 KB)"
"43","High-Rate Fair-Density Parity-Check Codes","Hessam Mahdavifar","Information Theory (cs.IT)","We introduce fair-density parity-check (FDPC) codes targeting high-rate applications. In particular, we start with a base parity-check matrix $H_b$ of dimension $2 \sqrt{n} \times n$, where $n$ is the code block length, and the number of ones in each row and column of $H_b$ is equal to $\sqrt{n}$ and $2$, respectively. We propose a deterministic combinatorial method for picking the base matrix $H_b$, assuming $n=4t^2$ for some integer $t \geq 2$. We then extend this by obtaining permuted versions of $H_b$ (e.g., via random permutations of its columns) and stacking them on top of each other leading to codes of dimension $k \geq n-2s\sqrt{n}+s$, for some $s \geq 2$, referred to as order-$s$ FDPC codes. We propose methods to explicitly characterize and bound the weight distribution of the new codes and utilize them to derive union-type approximate upper bounds on their error probability under Maximum Likelihood (ML) decoding. For the binary erasure channel (BEC), we demonstrate that the approximate ML bound of FDPC codes closely follows the random coding upper bound (RCU) for a wide range of channel parameters. Also, remarkably, FDPC codes, under the low-complexity min-sum decoder, improve upon 5G-LDPC codes for transmission over the binary-input additive white Gaussian noise (B-AWGN) channel by almost 0.5dB (for $n=1024$, and rate $=0.878$). Furthermore, we propose a new decoder as a combination of weighted min-sum message-passing (MP) decoding algorithm together with a new progressive list (PL) decoding component, referred to as the MP-PL decoder, to further boost the performance of FDPC codes. This paper opens new avenues for a fresh investigation of new code constructions and decoding algorithms in high-rate regimes suitable for ultra-high throughput (high-frequency/optical) applications.","Fri, 9 Feb 2024 22:38:47 UTC (194 KB)"
"44","Compression effects and scene details on the source camera identification of digital videos","Raquel Ramos López, Ana Lucila Sandoval Orozco, Luis Javier García Villalba","Cryptography and Security (cs.CR)","The continuous growth of technologies like 4G or 5G has led to a massive use of mobile devices such as smartphones and tablets. This phenomenon, combined with the fact that people use mobile phones for a longer period of time, results in mobile phones becoming the main source of creation of visual information. However, its reliability as a true representation of reality cannot be taken for granted due to the constant increase in editing software. This makes it easier to alter original content without leaving a noticeable trace in the modification. Therefore, it is essential to introduce forensic analysis mechanisms to guarantee the authenticity or integrity of a certain digital video, particularly if it may be considered as evidence in legal proceedings. This paper explains the branch of multimedia forensic analysis that allows to determine the identification of the source of acquisition of a certain video by exploiting the unique traces left by the camera sensor of the mobile device in visual content. To do this, a technique that performs the identification of the source of acquisition of digital videos from mobile devices is presented. It involves 3 stages: (1) Extraction of the sensor fingerprint by applying the block-based technique. (2) Filtering the strong component of the PRNU signal to improve the quality of the sensor fingerprint. (3) Classification of digital videos in an open scenario, that is, where the forensic analyst does not need to have access to the device that recorded the video to find out the origin of the video. The main contribution of the proposed technique eliminates the details of the scene to improve the PRNU fingerprint. It should be noted that these techniques are applied to digital images and not to digital videos.","Wed, 7 Feb 2024 09:14:18 UTC (1,148 KB)"
"45","Environmental Awareness Dynamic 5G QoS for Retaining Real Time Constraints in Robotic Applications","Gerasimos Damigos, Akshit Saradagi, Sara Sandberg, George Nikolakopoulos","Robotics (cs.RO)","The fifth generation (5G) cellular network technology is mature and increasingly utilized in many industrial and robotics applications, while an important functionality is the advanced Quality of Service (QoS) features. Despite the prevalence of 5G QoS discussions in the related literature, there is a notable absence of real-life implementations and studies concerning their application in time-critical robotics scenarios. This article considers the operation of time-critical applications for 5G-enabled unmanned aerial vehicles (UAVs) and how their operation can be improved by the possibility to dynamically switch between QoS data flows with different priorities. As such, we introduce a robotics oriented analysis on the impact of the 5G QoS functionality on the performance of 5G-enabled UAVs. Furthermore, we introduce a novel framework for the dynamic selection of distinct 5G QoS data flows that is autonomously managed by the 5G-enabled UAV. This problem is addressed in a novel feedback loop fashion utilizing a probabilistic finite state machine (PFSM). Finally, the efficacy of the proposed scheme is experimentally validated with a 5G-enabled UAV in a real-world 5G stand-alone (SA) network.","Fri, 9 Feb 2024 15:23:05 UTC (1,462 KB)"
"46","Design of a 5G Multimedia Broadcast Application Function Supporting Adaptive Error Recovery","C. M. Lentisco, L. Bellido, A. Cárdenas, R. F. Moyano, D. Fernández","Multimedia (cs.MM)","The demand for mobile multimedia streaming services has been steadily growing in recent years. Mobile multimedia broadcasting addresses the shortage of radio resources but introduces a network error recovery problem. Retransmitting multimedia segments that are not correctly broadcast can cause service disruptions and increased service latency, affecting the quality of experience perceived by end users. With the advent of networking paradigms based on virtualization technologies, mobile networks have been enabled with more flexibility and agility to deploy innovative services that improve the utilization of available network resources. This paper discusses how mobile multimedia broadcast services can be designed to prevent service degradation by using the computing capabilities provided by multiaccess edge computing (MEC) platforms in the context of a 5G network architecture. An experimental platform has been developed to evaluate the feasibility of a MEC application to provide adaptive error recovery for multimedia broadcast services. The results of the experiments carried out show that the proposal provides a flexible mechanism that can be deployed at the network edge to lower the impact of transmission errors on latency and service disruptions.","Fri, 9 Feb 2024 14:29:31 UTC (3,067 KB)"
"47","Super-Realized Gain Huygens Antennas","Donal Patrick Lynch, Vincent Fusco, Manos M. Tentzeris, Stylianos D. Asimonis","Applied Physics (physics.app-ph)","This study presents a superdirective antenna array specifically designed for the sub-6 5G generation frequency range, incorporating pioneering Huygens antenna elements. The optimized structure achieves a realized gain that surpasses Harrington's well-known maximum theoretical limit for antenna directivity, effectively addressing practical concerns related to ohmic and return losses. Additionally, the compact size of the proposed antenna array, as opposed to a uniform linear array, offers the potential to fabricate highly radiation-efficient, high-directivity antennas in a compact form.","Fri, 9 Feb 2024 09:50:49 UTC (418 KB)"
"48","Can 5G Coexist with Satellite Uplink in 28 GHz Band?","Bryce Jeffrey, Seungmo Kim","Signal Processing (eess.SP)","5G standalone (SA) rollout is right around the corner. 28 GHz band is considered as one of the main spectrum bands for the 5G SA in many countries. However, the band has already been occupied by uplink of the fixed satellite service (FSS). Due to high equivalent isotropic radiated power (EIRP) adopted by the FSS, the interference that FSS may cause into 5G is garnering research interest. This research aims to establish an analytical framework that quantifies the FSS-to-5G interference.","Fri, 9 Feb 2024 01:41:36 UTC (65 KB)"
"49","Energy- and Quality-Aware Video Request Policy for Wireless Adaptive Streaming Clients","César Díaz, Antonio Fernández, Fernando Sacristán, Narciso García","Image and Video Processing (eess.IV)","We present a straightforward, non-intrusive adaptive bit rate streaming segment quality selection policy which aims at extending battery lifetime during playback while limiting the impact on the user's quality of experience, thus benefiting consumers of video streaming services. This policy relies on the relationship between the available channel bandwidth and the bit rate of the representations in the quality ladder. It results from the characterization of the energy consumed by smartphones when running adaptive streaming client applications for different network connections (Wifi, 4G, and 5G) and the modeling of the energy consumed as a function of said relationship. Results show that a significant amount of energy can be saved (10 to 30%) by slightly modifying the default policy at the expense of a controlled reduction of video quality.","Thu, 8 Feb 2024 20:47:00 UTC (1,216 KB)"
"50","Design and Prototyping of Transmissive RIS-Aided Wireless Communication","Jianan Zhang, Rujing Xiong, Junshuo Liu, Tiebin Mi, Robert Caiming Qiu","Systems and Control (eess.SY)","Reconfigurable Intelligent Surfaces (RISs) exhibit promising enhancements in coverage and data rates for wireless communication systems, particularly in the context of 5G and beyond. This paper introduces a novel approach by focusing on the design and prototyping of a transmissive RIS, contrasting with existing research predominantly centered on reflective RIS. The achievement of 1-bit transmissive RIS through the antisymmetry configuration of the two PIN diodes, nearly uniform transmission magnitudes but inversed phase states in a wide band can be obtained. A transmissive RIS prototype consisting of 16 $\times$ 16 elements is meticulously designed, fabricated, and subjected to measurement to validate the proposed design. The results demonstrate that the proposed RIS unit cell achieves effective 1-bit phase tuning with minimal insertion loss and a transmission bandwidth of 3 dB exceeding $20\%$ at 5.8GHz. By dynamically modulating the quantized code distributions on the RIS, it becomes possible to construct scanning beams. The experimental outcomes of the RIS-assisted communication system validate that, in comparison to scenarios without RIS, the signal receiving power experiences an increase of approximately 7dB when RIS is deployed to overcome obstacles. This underscores the potential applicability of mobile RIS in practical communication.","Thu, 8 Feb 2024 11:11:38 UTC (9,428 KB)"
"51","ASCENT: A Context-Aware Spectrum Coexistence Design and Implementation Toolset for Policymakers in Satellite Bands","Ta-seen Reaz Niloy, Saurav Kumar, Aniruddha Hore, Zoheb Hassan, Carl Dietrich, Eric W. Burger, Jeffrey H. Reed, Vijay K. Shah","Systems and Control (eess.SY)","This paper introduces ASCENT (context Aware Spectrum Coexistence Design and Implementation) toolset, an advanced context-aware terrestrial satellite spectrum sharing toolset designed for researchers, policymakers, and regulators. It serves two essential purposes (a) evaluating the potential for harmful interference to primary users in satellite bands and (b) facilitating the analysis, design, and implementation of diverse regulatory policies on spectrum usage and sharing. Notably, ASCENT implements a closed-loop feedback system that allows dynamic adaptation of policies according to a wide range of contextual factors (e.g., weather, buildings, summer/winter foliage, etc.) and feedback on the impact of these policies through realistic simulation. Specifically, ASCENT comprises the following components (i) interference evaluation tool for evaluating interference at the incumbents in a spectrum-sharing environment while taking the underlying contexts, (ii) dynamic spectrum access (DSA) framework for providing context-aware instructions to adapt networking parameters and control secondary terrestrial network's access to the shared spectrum band according to context aware prioritization, (iii) Context broker to acquire essential and relevant contexts from external context information providers; and (iv) DSA Database to store dynamic and static contexts and the regulator's policy information. The closed-loop feedback system of ASCENT is implemented by integrating these components in a modular software architecture. A case study of sharing the lower 12 GHz Ku band (12.2-12.7 GHz) with the 5G terrestrial cellular network is considered, and the usability of ASCENT is demonstrated by dynamically changing exclusion zone's radius in different weather conditions.","Wed, 7 Feb 2024 21:43:17 UTC (9,854 KB)[v2] Wed, 14 Feb 2024 20:56:56 UTC (9,854 KB)[v3] Fri, 16 Feb 2024 02:17:10 UTC (9,854 KB)"
"52","A Comprehensive Analysis of Secondary Coexistence in a Real-World CBRS Deployment","Armed Tusha (1), Seda Dogan-Tusha (1), Hossein Nasiri (1), Muhammad I. Rochman (2), Patrick McGuire (3), Monisha Ghosh (1) ((1) Department of Electrical and Electronics Engineering, University of Notre Dame, South Bend, IN, USA, (2) Department of Computer Science, University of Chicago, Chicago, IL, USA, (3) South Bend Community School Corporation, South Bend, IN, USA)","Networking and Internet Architecture (cs.NI)","The Federal Communications Commission (FCC) in the U.S. has made the Citizens Broadband Radio Service (CBRS) band (3.55 - 3.7 GHz) available for commercial wireless usage under a shared approach using a three-tier hierarchical architecture, where the federal incumbent is the highest priority Tier 1 user, Priority Access License (PAL) holders, who have paid for licenses, are Tier 2 users and Tier 3 users operate under General Authorized Access (GAA), without license fees or protection from higher priority users. The Spectrum Access System (SAS) ensures that higher priority users are protected from interference from lower priority users. However, the lowest priority GAA users are not given any protection from each other by the SAS and are expected to not cause any harmful interference to Tier 1 and Tier 2 users. As the deployments of GAA devices grow, the potential for secondary interference between GAA users increases, especially since the SAS architecture does not allow dynamic channel switching when faced with interference. In this paper, we present a first-of-its-kind extensive measurement campaign of a commercial CBRS network deployed in the city of South Bend, IN, that quantifies both co-channel interference (CCI) and adjacent channel interference (ACI) caused by competing GAA devices and C-band 5G, respectively. We (i) identify a particular CCI scenario and improve performance by changing the frequency allocation based on our study of other allocations in the vicinity and (ii) quantify ACI from 5G in C-band (3.7 GHz) on CBRS throughput. We conclude that (i) CCI and ACI for GAA users is not handled well by the SAS, (ii) proper frequency allocation for GAA requires additional analysis of interference from other GAA users followed by dynamical channel selection, and (iii) utilization of immediate adjacent channels by high power 5G deployments limits the performance of CBRS.","Wed, 7 Feb 2024 20:04:54 UTC (3,512 KB)"
"53","Research on Mobile Network High-precision Absolute Time Synchronization based on TAP","Chenyu Zhang, Xiangming Wen, Wei Zheng, Longdan Yu, Zhaoming Lu, Zhengying Wang","Networking and Internet Architecture (cs.NI)","With the development of mobile communication and industrial internet technologies, the demand for robust absolute time synchronization based on network for diverse scenarios is significantly growing. TAP is a novel network timing method that aims to achieve sub-microsecond synchronization over air interface. This paper investigates the improvement and end-to-end realization of TAP. This paper first analyzes the effectiveness and deficiencies of TAP by establishing an equivalent clock model which evaluates TAP from timing error composition and allan variance. Second, this paper proposes a detailed base station and terminal design and the corresponding improvement of TAP. Both hardware compensation and protocol software design are taken into account so as to minimize timing error and system cost while maximizing compatibility with 3GPP. Finally, this paper presents a TAP end-to-end 5G prototype system developed based on software defined radio base station and COTS baseband module. The field test results show that the proposed scheme effectively solves the problems of TAP in application and robustly achieves 200ns level timing accuracy in various situations. The average accuracy with long observations can reach 1 nanosecond. It is 2$\sim$3 orders of magnitude better than common network timing methods, including NTP, PTP and the original TAP.","Wed, 7 Feb 2024 14:32:35 UTC (2,315 KB)"
"54","Device Activity Detection and Channel Estimation for Millimeter-Wave Massive MIMO","Yinchuan Li, Yuancheng Zhan, Le Zheng, Xiaodong Wang","Signal Processing (eess.SP)","Millimeter-Wave Massive MIMO is important for beyond 5G or 6G wireless communication networks. The goal of this paper is to establish successful communication between the cellular base stations and devices, focusing on the problem of joint user activity detection and channel estimation. Different from traditional compressed sensing (CS) methods that only use the sparsity of user activities, we develop several Approximate Message Passing (AMP) based CS algorithms by exploiting the sparsity of user activities and mmWave channels. First, a group soft-thresholding AMP is presented to utilize only the user activity sparsity. Second, a hard-thresholding AMP is proposed based on the on-grid CS approach. Third, a super-resolution AMP algorithm is proposed based on atomic norm, in which a greedy method is proposed as a super-resolution denoiser. And we smooth the denoiser based on Monte Carlo sampling to have Lipschitz continuity and present state evolution results. Extensive simulation results show that the proposed method outperforms the previous state-of-the-art methods.","Wed, 7 Feb 2024 09:49:39 UTC (2,620 KB)"
"55","Evolving Mobile Cloud Gaming with 5G Standalone Network Telemetry","Haoran Wan, Kyle Jamieson","Networking and Internet Architecture (cs.NI)","Mobile cloud gaming places the simultaneous demands of high capacity and low latency on the wireless network, demands that Private and Metropolitan-Area Standalone 5G networks are poised to meet. However, lacking introspection into the 5G Radio Access Network (RAN), cloud gaming servers are ill-poised to cope with the vagaries of the wireless last hop to a mobile client, while 5G network operators run mostly closed networks, limiting their potential for co-design with the wider internet and user applications. This paper presents Telesa, a passive, incrementally-deployable, and independently-deployable Standalone 5G network telemetry system that streams fine-grained RAN capacity, latency, and retransmission information to application servers to enable better millisecond scale, application-level decisions on offered load and bit rate adaptation than end-to-end latency measurements or end-to-end packet losses currently permit. We design, implement, and evaluate a Telesa telemetry-enhanced game streaming platform, demonstrating exact congestion-control that can better adapt game video bitrate while simultaneously controlling end-to-end latency, thus maximizing game quality of experience. Our experimental evaluation on a production 5G Standalone network demonstrates a 178-249% Quality of Experience improvement versus two state-of-the-art cloud gaming applications.","Tue, 6 Feb 2024 22:44:27 UTC (9,234 KB)"
"56","Context-Aware Spectrum Coexistence of Terrestrial Beyond 5G Networks in Satellite Bands","Ta Seen Reaz Niloy, Zoheb Hasan, Rob Smith, Vikram R. Anapana, Vijay K. Shah","Networking and Internet Architecture (cs.NI)","Spectrum sharing between terrestrial 5G and incumbent networks in the satellite bands presents a promising avenue to satisfy the ever-increasing bandwidth demand of the next-generation wireless networks. However, protecting incumbent operations from harmful interference poses a fundamental challenge in accommodating terrestrial broadband cellular networks in the satellite bands. State-of-the-art spectrum-sharing policies usually consider several worst-case assumptions and ignore site-specific contextual factors in making spectrum-sharing decisions, and thus, often results in under-utilization of the shared band for the secondary licensees. To address such limitations, this paper introduces CAT3S (Context-Aware Terrestrial-Satellite Spectrum Sharing) framework that empowers the coexisting terrestrial 5G network to maximize utilization of the shared satellite band without creating harmful interference to the incumbent links by exploiting the contextual factors. CAT3S consists of the following two components: (i) context-acquisition unit to collect and process essential contextual information for spectrum sharing and (ii) context-aware base station (BS) control unit to optimize the set of operational BSs and their operation parameters (i.e., transmit power and active beams per sector). To evaluate the performance of the CAT3S, a realistic spectrum coexistence case study over the 12 GHz band is considered. Experiment results demonstrate that the proposed CAT3S achieves notably higher spectrum utilization than state-of-the-art spectrum-sharing policies in different weather contexts.","Tue, 6 Feb 2024 22:34:57 UTC (932 KB)[v2] Wed, 14 Feb 2024 20:51:16 UTC (932 KB)"
"57","A Novel Local and Hyper-Local Multicast Services Transmission Scheme for Beyond 5G Networks","Sweta Singh, K. Giridhar","Signal Processing (eess.SP)","The efficiency of the broadcast network is impacted by the different types of services that may be transmitted over it. Global services serve users across the entire network, while local services cater to specific regions, and hyper-local services have even narrower coverage. Multimedia Broadcast over a Single-Frequency Network (MBSFN) is typically used for global service transmission while existing literature extensively discusses schemes for transmitting local or hyper-local services with or without Single Frequency Network (SFN) gain. However, these schemes fall short when network-wide requests for only local and hyper-local services are made, leading operators to scale down to either Single Cell-Point to Multipoint (SCPtM) or Multi-Frequency Network (MFN). SCPtM is highly susceptible to interference, and MFN requires substantial amounts of valuable spectrum. They both employ the Least Channel Gain (LCG) strategy for transmitting hyper-local services without SFN gain. Our proposed Local and Hyper-Local Services (LHS) transmission scheme utilizes the knowledge of user distribution and their corresponding radio link channel quality to schedule single or multi-resolution, local or hyper-local services within a three-cell cluster and aims to enhance spectral efficiency and maximize system throughput. It leverages Scalable Video Coding (SVC) in conjunction with Hierarchical Modulation (HM) for transmitting multi-resolution multimedia content to address the problem of heterogeneity amongst the multicast group users. The proposed scheme also employs macro-diversity combining with optimal HM parameters for each gNB catering to a local service area in order to minimize the service outage. System-level simulation results testify to the better performance achieved by the proposed LHS transmission scheme with respect to SCPtM.","Tue, 6 Feb 2024 12:50:39 UTC (4,876 KB)"
"58","Competitive advantage of URLLC vs. eMBB for supporting timeliness-relevant services","Luis Guijarro, Jose-Ramon Vidal, Vicent Pla","Networking and Internet Architecture (cs.NI)","5G specifications promise a common and flexible-enough network infrastructure capable of satisfying diverse requirements of both current and future use cases. Two service types standardized in 5G are eMBB, without stringent delay guarantee, and URLLC, with stringent delay guarantee. We focus on a use case where data timeliness is the relevant quality parameter. We provide an economic rationale for the support of data-based services, that is, from the point of view of the profits attained by the service providers and operators (SP). More specifically, we focus on data-based services the quality of which is related to the Age of Information, and we assess two alternatives for the support of this sort of services by means of a 5G network: one that is based on the eMBB service type, and one that is based on the URLLC service type. These assessment is conducted in a duopoly scenario. We conclude that URLLC support provides a competitive advantage to an SP against a competitor SP that supports its service offering on eMBB. And that there is a slightly better situation for the users when the URLLC QoS constraint is stringent.","Tue, 6 Feb 2024 11:44:50 UTC (441 KB)"
"59","A Learning-Based Caching Mechanism for Edge Content Delivery","Hoda Torabi, Hamzeh Khazaei, Marin Litoiu","Networking and Internet Architecture (cs.NI)","With the advent of 5G networks and the rise of the Internet of Things (IoT), Content Delivery Networks (CDNs) are increasingly extending into the network edge. This shift introduces unique challenges, particularly due to the limited cache storage and the diverse request patterns at the edge. These edge environments can host traffic classes characterized by varied object-size distributions and object-access patterns. Such complexity makes it difficult for traditional caching strategies, which often rely on metrics like request frequency or time intervals, to be effective. Despite these complexities, the optimization of edge caching is crucial. Improved byte hit rates at the edge not only alleviate the load on the network backbone but also minimize operational costs and expedite content delivery to end-users. In this paper, we introduce HR-Cache, a comprehensive learning-based caching framework grounded in the principles of Hazard Rate (HR) ordering, a rule originally formulated to compute an upper bound on cache performance. HR-Cache leverages this rule to guide future object eviction decisions. It employs a lightweight machine learning model to learn from caching decisions made based on HR ordering, subsequently predicting the ""cache-friendliness"" of incoming requests. Objects deemed ""cache-averse"" are placed into cache as priority candidates for eviction. Through extensive experimentation, we demonstrate that HR-Cache not only consistently enhances byte hit rates compared to existing state-of-the-art methods but also achieves this with minimal prediction overhead. Our experimental results, using three real-world traces and one synthetic trace, indicate that HR-Cache consistently achieves 2.2-14.6% greater WAN traffic savings than LRU. It outperforms not only heuristic caching strategies but also the state-of-the-art learning-based algorithm.","Mon, 5 Feb 2024 08:06:03 UTC (186 KB)"
"60","Orbital collapse and dual states of the $5g$ electrons in superheavy elements","I. I. Tupitsyn, I. M. Savelyev, Y. S. Kozhedub, D. A. Telnov, N. K. Dulaev, A. V. Malyshev, E. A. Prokhorchuk, V. M. Shabaev","Atomic Physics (physics.atom-ph)","The problem of orbital collapse of the $5g$ and $6f$ electrons in atoms of superheavy elements (SHE) is considered. Previously, the presence of the orbital collapse was established for the $4f$ and $5f$ elements of the periodic table. Because of the large centrifugal term for the $f$ and $g$ electrons, the effective radial potential has two wells, one narrow and deep and the other wide but shallow. Depending on the external parameters, the electron can be either localized in the outer well with low binding energy and large average radius or in the inner one with higher energy and smaller radius. In this work, we demonstrate the existence of the orbital collapse for the $5g$ electrons when changing the total angular momentum $J$ of the atom. We also found that for some SHE elements, two different solutions of the same Dirac-Fock equations may coexist, with the $5g$ electron localized either in the inner or outer well. In both cases, the radial wave functions are nodeless. The problem of the dual-state coexistence is studied by the configuration-interaction method in the Dirac-Fock-Sturm orbital basis as well.","Sun, 4 Feb 2024 20:53:45 UTC (167 KB)"
"61","Pilot Length Optimization with RS-LS Channel Estimation for Extremely Large Aperture Arrays","Mert Alıcıoğlu, Özlem Tuğfe Demir, Emil Björnson","Information Theory (cs.IT)","Extremely large aperture arrays can enable unprecedented spatial multiplexing in beyond 5G systems due to their extremely narrow beamfocusing capabilities. However, acquiring the spatial correlation matrix to enable efficient channel estimation is a complex task due to the vast number of antenna dimensions. Recently, a new estimation method called the ""reduced-subspace least squares (RS-LS) estimator"" has been proposed for densely packed arrays. This method relies solely on the geometry of the array to limit the estimation resources. In this paper, we address a gap in the existing literature by deriving the average spectral efficiency for a certain distribution of user equipments (UEs) and a lower bound on it when using the RS-LS estimator. This bound is determined by the channel gain and the statistics of the normalized spatial correlation matrices of potential UEs but, importantly, does not require knowledge of a specific UE's spatial correlation matrix. We establish that there exists a pilot length that maximizes this expression. Additionally, we derive an approximate expression for the optimal pilot length under low signal-to-noise ratio (SNR) conditions. Simulation results validate the tightness of the derived lower bound and the effectiveness of using the optimized pilot length.","Fri, 2 Feb 2024 14:14:15 UTC (141 KB)"
"62","Real-time Extended Reality Video Transmission Optimization Based on Frame-priority Scheduling","Guangjin Pan, Shugong Xu, Shunqing Zhang, Xiaojing Chen, Yanzan Sun","Networking and Internet Architecture (cs.NI)","Extended reality (XR) is one of the most important applications of 5G. For real-time XR video transmission in 5G networks, a low latency and high data rate are required. In this paper, we propose a resource allocation scheme based on frame-priority scheduling to meet these requirements. The optimization problem is modelled as a frame-priority-based radio resource scheduling problem to improve transmission quality. We propose a scheduling framework based on multi-step Deep Q-network (MS-DQN) and design a neural network model based on convolutional neural network (CNN). Simulation results show that the scheduling framework based on frame-priority and MS-DQN can improve transmission quality by 49.9%-80.2%.","Fri, 2 Feb 2024 06:54:06 UTC (2,984 KB)[v2] Thu, 8 Feb 2024 03:19:00 UTC (2,984 KB)"
"63","Research on Resource Allocation under Unlicensed Spectrum Using Q-Learning","Uyoy Ial","Networking and Internet Architecture (cs.NI)","In response to the advent of the 5G era, enhancing throughput and increasing transmission efficiency within limited spectrum resources is an important research topic. In the LTE system, utilizing unlicensed spectrum to assist traditional mobile networks, known as License Assisted Access, has emerged as a viable solution to effectively improve transmission efficiency. However, as the unlicensed spectrum also accommodates other users, such as Wi-Fi for mobile communication, there is a need to address the issue of spectrum resource allocation, aiming to achieve fair transmission among different mobile communication users. This research project aims to explore and compare two approaches: traditional communication algorithms and reinforcement learning method Q-leaning, under the condition of achieving maximum system throughput, in order to determine the differences between the two methods.","Mon, 4 Dec 2023 05:49:55 UTC (574 KB)"
"64","Hypermultiplexed Integrated Tensor Optical Processor","Shaoyuan Ou, Alexander Sludds, Ryan Hamerly, Ke Zhang, Hanke Feng, Eric Zhong, Cheng Wang, Dirk Englund, Mengjie Yu, Zaijun Chen","Emerging Technologies (cs.ET)","The escalating data volume and complexity resulting from the rapid expansion of artificial intelligence (AI), internet of things (IoT) and 5G/6G mobile networks is creating an urgent need for energy-efficient, scalable computing hardware. Here we demonstrate a hypermultiplexed integrated tensor optical processor (HITOP) that performs trillions of operations per second (TeraOPS) at the energy cost of 25 femtojoule per operation (25 fJ/OP). Based on space-time-wavelength three-dimensional (3D) data streaming, HITOP is built with arrays of wafer-fabricated III/V-based micron-scale lasers (spanning ~1 THz) incorporating thin-film Lithium-Niobate electro-optic (EO) photonics. Multidimensional parallelism allows matrix-matrix multiplications ($N^{3}$ operations) using $O(N)$ devices, facilitating scalable on-chip integration. With each device activating 10 billion parameters per second, the HITOP scalability is validated in machine learning models with 405,000 parameters, which is 25,000 times more than previous integrated optical systems. A combination of high clockrates (10 GS/s), parallel processing and real-time reprogrammability unlocks the full potential of light for next-generation AI accelerators in applications ranging from training with trillions of parameters, real-time decision making in autonomous vehicles and robotics, dynamic optimization in smart manufacturing, to complex simulation for climate modeling and drug discovery.","Wed, 31 Jan 2024 18:14:13 UTC (2,188 KB)[v2] Sun, 11 Feb 2024 07:30:29 UTC (14,508 KB)[v3] Tue, 13 Feb 2024 16:03:44 UTC (14,508 KB)"
"65","Time Synchronization for 5G and TSN Integrated Networking","Zixiao Wang, Zonghui Li, Xuan Qiao, Yiming Zheng, Bo Ai, Xiaoyu Song","Networking and Internet Architecture (cs.NI)","Emerging industrial applications involving robotic collaborative operations and mobile robots require a more reliable and precise wireless network for deterministic data transmission. To meet this demand, the 3rd Generation Partnership Project (3GPP) is promoting the integration of 5th Generation Mobile Communication Technology (5G) and Time-Sensitive Networking (TSN). Time synchronization is essential for deterministic data transmission. Based on the 3GPP's vision of the 5G and TSN integrated networking with interoperability, we improve the time synchronization of TSN to conquer the multi-gNB competition, re-transmission, and mobility problems for the integrated 5G time synchronization. We implemented the improvement mechanisms and systematically validated the performance of 5G+TSN time synchronization. Based on the simulation in 500m x 500m industrial environments, the improved time synchronization achieved a precision of 1 microsecond with interoperability between 5G nodes and TSN nodes.","Wed, 31 Jan 2024 10:33:36 UTC (5,517 KB)"
"66","5G NR Positioning Enhancements in 3GPP Release-18","Hyun-Su Cha, Gilsoo Lee, Amitava Ghosh, Matthew Baker, Sean Kelley, Juergen Hofmann","Information Theory (cs.IT)","New radio (NR) positioning in the Third Generation Partnership Project (3GPP) Release 18 (Rel-18) enables 5G-advanced networks to achieve ultra-high accuracy positioning without dependence on global navigation satellite systems (GNSS) with key enablers such as the carrier phase positioning technique, standardized for the first time in a cellular communications standard and setting a new baseline for future generations. In addition, Rel-18 NR supports positioning functionalities for reduced capability (RedCap) user equipment and bandwidth aggregation for positioning measurements. Moreover, the low power solutions are designed for low power high accuracy positioning use cases. Lastly, sidelink-based positioning is introduced in Rel-18. This article constitutes a comprehensive treatment of the Rel-18 NR positioning enhancements crucial for the development of next-generation networks.","Wed, 31 Jan 2024 04:38:10 UTC (2,243 KB)"
